timestamp,cpu_percent,memory_percent,memory_used_gb,swap_percent,disk_read_mb_s,disk_write_mb_s,net_sent_mb_s,net_recv_mb_s,temperature_c
2026-04-05T21:13:30-03:00,1.1,11.8,1.815,0.0,0.0,0.0,0.0,0.0,36.847
2026-04-05T21:13:31-03:00,2.4,11.8,1.815,0.0,0.0,0.0,0.0,0.0,36.713
2026-04-05T21:13:32-03:00,1.5,11.8,1.815,0.0,0.0,0.0,0.0,0.0,36.713
2026-04-05T21:13:33-03:00,2.0,11.8,1.812,0.0,0.0,0.007,0.0,0.0,36.647
2026-04-05T21:13:34-03:00,1.7,11.8,1.81,0.0,0.0,0.0,0.0,0.0,36.98
2026-04-05T21:13:35-03:00,1.2,11.8,1.81,0.0,0.0,0.22,0.0,0.0,36.847
2026-04-05T21:13:36-03:00,0.4,11.8,1.807,0.0,0.0,0.0,0.0,0.0,36.38
2026-04-05T21:13:37-03:00,12.0,11.5,1.77,0.0,0.0,0.0,0.0,0.0,43.38
2026-04-05T21:13:38-03:00,29.3,13.6,2.086,0.0,0.0,1.037,0.018,0.02,47.18
2026-04-05T21:13:39-03:00,9.1,14.3,2.185,0.0,0.0,0.317,0.024,0.045,45.58
2026-04-05T21:13:40-03:00,13.2,14.6,2.245,0.0,0.0,0.631,0.396,0.396,39.38
2026-04-05T21:13:41-03:00,2.6,14.6,2.245,0.0,0.0,0.0,0.008,0.008,40.313
2026-04-05T21:13:42-03:00,6.3,14.8,2.269,0.0,0.0,0.626,0.023,0.046,40.847
2026-04-05T21:13:43-03:00,4.2,14.9,2.278,0.0,0.0,0.923,0.032,0.044,44.913
2026-04-05T21:13:44-03:00,30.0,15.8,2.425,0.0,0.0,0.255,3.479,3.487,48.313
2026-04-05T21:13:45-03:00,22.4,17.5,2.685,0.0,0.0,0.289,0.226,0.226,44.513
2026-04-05T21:13:46-03:00,2.1,17.5,2.684,0.0,0.0,0.0,0.008,0.008,42.58
2026-04-05T21:13:47-03:00,0.9,17.5,2.677,0.0,0.0,0.345,0.0,0.0,41.18
2026-04-05T21:13:48-03:00,1.9,17.4,2.668,0.0,0.0,1.188,0.015,0.029,41.113
2026-04-05T21:13:49-03:00,1.5,17.4,2.664,0.0,0.0,0.0,0.0,0.0,39.98
2026-04-05T21:13:50-03:00,12.5,17.5,2.68,0.0,0.0,0.114,0.008,0.008,48.58
2026-04-05T21:13:51-03:00,18.3,18.1,2.776,0.0,0.0,0.004,0.203,0.203,40.78
2026-04-05T21:13:52-03:00,6.0,18.1,2.778,0.0,0.0,0.0,0.0,0.0,40.447
2026-04-05T21:13:54-03:00,3.5,18.1,2.78,0.0,0.0,0.568,0.002,0.002,40.513
2026-04-05T21:13:55-03:00,3.8,18.1,2.781,0.0,0.0,0.0,0.006,0.006,38.98
2026-04-05T21:13:56-03:00,4.4,18.1,2.772,0.0,0.0,0.125,0.007,0.007,38.913
2026-04-05T21:13:57-03:00,5.3,18.1,2.769,0.0,0.0,0.023,0.0,0.0,38.513
2026-04-05T21:13:58-03:00,4.1,18.1,2.768,0.0,0.0,0.079,0.003,0.003,39.113
2026-04-05T21:13:59-03:00,3.0,18.0,2.752,0.0,0.0,0.11,0.003,0.003,38.58
2026-04-05T21:14:00-03:00,4.2,17.9,2.751,0.0,0.0,0.057,0.006,0.004,38.447
2026-04-05T21:14:01-03:00,3.3,17.9,2.751,0.0,0.0,0.356,0.0,0.0,38.513
2026-04-05T21:14:02-03:00,4.4,18.0,2.756,0.0,0.0,0.004,0.003,0.003,38.513
2026-04-05T21:14:03-03:00,3.3,17.9,2.747,0.0,0.0,0.0,0.003,0.003,38.38
2026-04-05T21:14:04-03:00,6.7,17.9,2.743,0.0,0.0,0.004,0.002,0.002,38.513
2026-04-05T21:14:05-03:00,3.3,17.9,2.744,0.0,0.0,0.0,0.005,0.005,38.38
2026-04-05T21:14:06-03:00,3.4,17.9,2.739,0.0,0.0,0.08,0.007,0.007,38.38
2026-04-05T21:14:07-03:00,3.9,17.9,2.737,0.0,0.0,0.053,0.003,0.003,38.38
2026-04-05T21:14:08-03:00,4.1,17.9,2.736,0.0,0.0,0.167,0.0,0.0,38.713
2026-04-05T21:14:09-03:00,5.2,17.8,2.734,0.0,0.0,0.298,0.0,0.0,38.247
2026-04-05T21:14:10-03:00,7.1,17.3,2.649,0.0,0.0,0.004,0.003,0.003,38.113
2026-04-05T21:14:11-03:00,3.8,17.3,2.648,0.0,0.0,0.769,0.0,0.0,38.247
2026-04-05T21:14:12-03:00,1.9,17.3,2.649,0.0,0.0,0.182,0.0,0.0,38.113
2026-04-05T21:14:13-03:00,2.3,17.3,2.652,0.0,0.0,0.0,0.004,0.004,38.047
2026-04-05T21:14:14-03:00,4.5,17.3,2.652,0.0,0.0,0.356,0.002,0.002,38.113
2026-04-05T21:14:15-03:00,3.7,17.3,2.656,0.0,0.0,0.231,0.015,0.015,38.18
2026-04-05T21:14:16-03:00,2.3,17.3,2.656,0.0,0.0,0.087,0.0,0.0,38.047
2026-04-05T21:14:17-03:00,4.0,17.3,2.655,0.0,0.0,0.0,0.004,0.004,38.247
2026-04-05T21:14:18-03:00,8.3,17.3,2.655,0.0,0.0,0.0,0.0,0.0,38.313
2026-04-05T21:14:19-03:00,4.1,17.2,2.642,0.0,0.0,0.306,0.0,0.0,38.047
2026-04-05T21:14:20-03:00,2.6,17.2,2.64,0.0,0.0,0.0,0.0,0.0,37.913
2026-04-05T21:14:21-03:00,2.7,17.2,2.643,0.0,0.0,0.148,0.005,0.005,37.913
2026-04-05T21:14:22-03:00,4.9,17.3,2.653,0.0,0.0,0.015,0.0,0.0,37.98
2026-04-05T21:14:23-03:00,3.0,17.3,2.651,0.0,0.0,0.0,0.0,0.0,37.98
2026-04-05T21:14:24-03:00,3.3,17.3,2.649,0.0,0.0,0.121,0.006,0.006,37.913
2026-04-05T21:14:25-03:00,3.1,17.3,2.653,0.0,0.0,0.114,0.009,0.009,37.647
2026-04-05T21:14:26-03:00,3.3,17.3,2.648,0.0,0.0,0.186,0.0,0.0,37.38
2026-04-05T21:14:28-03:00,8.1,17.4,2.664,0.0,0.0,0.0,0.118,0.118,46.113
2026-04-05T21:14:29-03:00,15.7,18.0,2.752,0.0,0.0,0.091,0.937,0.937,38.113
2026-04-05T21:14:30-03:00,2.3,17.9,2.739,0.0,0.0,0.03,0.0,0.0,37.513
2026-04-05T21:14:31-03:00,1.1,17.8,2.729,0.0,0.0,0.0,0.001,0.001,37.447
2026-04-05T21:14:32-03:00,6.4,17.9,2.74,0.0,0.0,0.129,0.149,0.149,37.647
2026-04-05T21:14:33-03:00,4.4,17.8,2.735,0.0,0.0,0.356,0.0,0.0,37.647
2026-04-05T21:14:34-03:00,4.2,17.8,2.735,0.0,0.0,0.045,0.002,0.002,37.98
2026-04-05T21:14:35-03:00,15.0,18.3,2.801,0.0,0.0,0.004,1.282,1.282,39.113
2026-04-05T21:14:36-03:00,6.2,18.1,2.779,0.0,0.0,0.106,0.031,0.031,38.18
2026-04-05T21:14:37-03:00,2.3,18.1,2.777,0.0,0.0,0.125,0.0,0.0,38.047
2026-04-05T21:14:38-03:00,2.4,18.0,2.763,0.0,0.0,0.212,0.0,0.0,37.713
2026-04-05T21:14:39-03:00,2.0,18.0,2.755,0.0,0.0,0.0,0.014,0.01,38.713
2026-04-05T21:14:40-03:00,0.4,18.0,2.755,0.0,0.0,0.0,0.0,0.0,37.313
2026-04-05T21:14:41-03:00,6.0,18.1,2.772,0.0,0.0,0.24,0.151,0.152,37.58
2026-04-05T21:14:42-03:00,4.3,18.1,2.772,0.0,0.0,0.079,0.004,0.004,37.647
2026-04-05T21:14:43-03:00,4.3,18.1,2.77,0.0,0.0,0.0,0.0,0.0,37.447
2026-04-05T21:14:44-03:00,3.8,18.1,2.775,0.0,0.0,0.004,0.11,0.11,44.113
2026-04-05T21:14:45-03:00,7.4,18.5,2.834,0.0,0.0,0.004,0.911,0.911,37.78
2026-04-05T21:14:46-03:00,1.1,18.4,2.826,0.0,0.0,0.149,0.0,0.0,37.58
2026-04-05T21:14:47-03:00,3.3,18.4,2.817,0.0,0.0,0.0,0.0,0.0,37.513
2026-04-05T21:14:48-03:00,1.1,18.3,2.811,0.0,0.0,0.133,0.0,0.0,37.313
2026-04-05T21:14:49-03:00,9.5,17.8,2.732,0.0,0.0,0.266,0.044,0.044,41.18
2026-04-05T21:14:50-03:00,5.4,17.9,2.738,0.0,0.0,0.004,0.109,0.109,37.713
2026-04-05T21:14:51-03:00,4.7,17.8,2.735,0.0,0.0,0.385,0.0,0.0,37.647
2026-04-05T21:14:52-03:00,3.3,17.8,2.736,0.0,0.0,0.0,0.0,0.0,37.78
2026-04-05T21:14:53-03:00,9.8,18.3,2.801,0.0,0.0,0.0,0.842,0.842,38.313
2026-04-05T21:14:54-03:00,11.7,18.2,2.789,0.0,0.0,0.186,0.127,0.128,38.047
2026-04-05T21:14:55-03:00,6.2,18.2,2.791,0.0,0.0,0.004,0.047,0.047,38.913
2026-04-05T21:14:56-03:00,1.3,18.2,2.796,0.0,0.0,0.0,0.0,0.0,37.713
2026-04-05T21:14:57-03:00,6.9,18.3,2.806,0.0,0.0,0.227,0.15,0.15,37.78
2026-04-05T21:14:58-03:00,4.4,18.3,2.8,0.0,0.0,0.015,0.0,0.0,37.647
2026-04-05T21:14:59-03:00,3.8,18.3,2.801,0.0,0.0,0.042,0.001,0.001,37.513
2026-04-05T21:15:00-03:00,7.6,18.3,2.809,0.0,0.0,0.004,0.554,0.554,47.247
2026-04-05T21:15:01-03:00,12.2,18.7,2.872,0.0,0.0,0.0,0.472,0.472,37.58
2026-04-05T21:15:03-03:00,8.2,18.7,2.863,0.0,0.0,0.443,0.087,0.087,37.98
2026-04-05T21:15:04-03:00,1.8,18.7,2.863,0.0,0.0,0.133,0.0,0.0,37.78
2026-04-05T21:15:05-03:00,7.2,18.8,2.886,0.0,0.0,0.375,0.157,0.157,37.513
2026-04-05T21:15:06-03:00,2.5,18.9,2.89,0.0,0.0,0.004,0.004,0.004,39.18
2026-04-05T21:15:07-03:00,9.3,19.3,2.963,0.0,0.0,0.141,0.96,0.96,38.313
2026-04-05T21:15:08-03:00,10.4,19.3,2.954,0.0,0.0,0.076,0.021,0.021,38.447
2026-04-05T21:15:09-03:00,0.9,19.2,2.948,0.0,0.004,0.004,0.0,0.0,38.047
2026-04-05T21:15:10-03:00,1.1,19.2,2.937,0.0,0.0,0.242,0.0,0.0,38.113
2026-04-05T21:15:11-03:00,2.6,19.2,2.948,0.0,0.0,0.239,0.15,0.15,37.58
2026-04-05T21:15:12-03:00,2.6,19.2,2.948,0.0,0.0,0.0,0.0,0.0,37.98
2026-04-05T21:15:13-03:00,16.4,19.5,2.993,0.0,0.0,0.072,0.931,0.931,38.38
2026-04-05T21:15:14-03:00,10.2,19.5,2.991,0.0,0.0,0.0,0.089,0.089,38.113
2026-04-05T21:15:15-03:00,3.5,19.4,2.978,0.0,0.0,0.349,0.007,0.007,37.58
2026-04-05T21:15:16-03:00,2.8,19.4,2.969,0.0,0.0,0.102,0.004,0.004,37.713
2026-04-05T21:15:17-03:00,0.6,19.4,2.968,0.0,0.0,0.004,0.0,0.0,37.38
2026-04-05T21:15:18-03:00,4.4,19.3,2.965,0.0,0.0,0.072,0.147,0.147,37.58
2026-04-05T21:15:19-03:00,13.7,19.6,3.002,0.0,0.0,0.0,0.898,0.899,43.18
2026-04-05T21:15:20-03:00,8.3,19.6,3.0,0.0,0.0,0.194,0.17,0.17,38.113
2026-04-05T21:15:21-03:00,9.8,19.7,3.018,0.0,0.0,0.027,0.156,0.156,38.047
2026-04-05T21:15:22-03:00,5.0,19.7,3.021,0.0,0.0,0.129,0.066,0.066,37.713
2026-04-05T21:15:23-03:00,11.3,19.7,3.02,0.0,0.0,0.004,0.188,0.188,37.847
2026-04-05T21:15:24-03:00,14.3,19.9,3.043,0.0,0.0,0.0,0.457,0.462,38.38
2026-04-05T21:15:25-03:00,8.1,20.0,3.064,0.0,0.0,0.061,0.273,0.273,38.18
2026-04-05T21:15:26-03:00,10.3,20.0,3.063,0.0,0.0,0.008,0.171,0.171,37.98
2026-04-05T21:15:27-03:00,16.9,19.9,3.046,0.0,0.0,0.239,0.578,0.578,42.98
2026-04-05T21:15:28-03:00,20.6,20.4,3.132,0.0,0.0,0.107,1.428,1.428,42.113
2026-04-05T21:15:29-03:00,10.6,20.5,3.142,0.0,0.0,0.008,0.333,0.333,38.713
2026-04-05T21:15:30-03:00,12.5,20.7,3.17,0.0,0.0,0.087,0.909,0.909,41.78
2026-04-05T21:15:31-03:00,5.9,20.7,3.168,0.0,0.0,0.0,0.119,0.119,39.113
2026-04-05T21:15:32-03:00,11.2,20.6,3.154,0.0,0.0,0.008,0.133,0.133,39.313
2026-04-05T21:15:33-03:00,10.4,20.7,3.177,0.0,0.0,0.133,0.9,0.9,39.313
2026-04-05T21:15:34-03:00,9.2,20.9,3.21,0.0,0.0,0.0,0.552,0.552,40.913
2026-04-05T21:15:35-03:00,18.4,21.1,3.231,0.0,0.0,0.377,1.063,1.063,40.447
2026-04-05T21:15:36-03:00,8.0,21.1,3.237,0.0,0.0,0.0,0.135,0.135,39.647
